,DateTime
3448,1920-06-09
3449,1920-06-10
3450,1920-06-11
3451,1920-06-12
3452,1920-06-13
3453,1920-06-14
3454,1920-06-15
3455,1920-06-16
3456,1920-06-17
3457,1920-06-18
3458,1920-06-19
3459,1920-06-20
3460,1920-06-21
3461,1920-06-22
3462,1920-06-23
3463,1920-06-24
3464,1920-06-25
3465,1920-06-26
3466,1920-06-27
3467,1920-06-28
3468,1920-06-29
3469,1920-06-30
3470,1920-07-01
3471,1920-07-02
3472,1920-07-03
3473,1920-07-04
3474,1920-07-05
3475,1920-07-06
3476,1920-07-07
3477,1920-07-08
3478,1920-07-09
3479,1920-07-10
3480,1920-07-11
3481,1920-07-12
3482,1920-07-13
3483,1920-07-14
3484,1920-07-15
3485,1920-07-16
3486,1920-07-17
3487,1920-07-18
3488,1920-07-19
3489,1920-07-20
3490,1920-07-21
3491,1920-07-22
3492,1920-07-23
3493,1920-07-24
3494,1920-07-25
3495,1920-07-26
3496,1920-07-27
3497,1920-07-28
3498,1920-07-29
3499,1920-07-30
3500,1920-07-31
3501,1920-08-01
3502,1920-08-02
3503,1920-08-03
3504,1920-08-04
3505,1920-08-05
3506,1920-08-06
3507,1920-08-07
3508,1920-08-08
3509,1920-08-09
3510,1920-08-10
3511,1920-08-11
3512,1920-08-12
3513,1920-08-13
3514,1920-08-14
3515,1920-08-15
3516,1920-08-16
3517,1920-08-17
3518,1920-08-18
3519,1920-08-19
3520,1920-08-20
3521,1920-08-21
3522,1920-08-22
3523,1920-08-23
3524,1920-08-24
3525,1920-08-25
3526,1920-08-26
3527,1920-08-27
3528,1920-08-28
3529,1920-08-29
3530,1920-08-30
3531,1920-08-31
3532,1920-09-01
3533,1920-09-02
3534,1920-09-03
3535,1920-09-04
3536,1920-09-05
3537,1920-09-06
3538,1920-09-07
3539,1920-09-08
3540,1920-09-09
3541,1920-09-10
3542,1920-09-11
3543,1920-09-12
3544,1920-09-13
3545,1920-09-14
3546,1920-09-15
3547,1920-09-16
3548,1920-09-17
3549,1920-09-18
3550,1920-09-19
3551,1920-09-20
3552,1920-09-21
3553,1920-09-22
3554,1920-09-23
3555,1920-09-24
3556,1920-09-25
3557,1920-09-26
3558,1920-09-27
3559,1920-09-28
3560,1920-09-29
3561,1920-09-30
3562,1920-10-01
3563,1920-10-02
3564,1920-10-03
3565,1920-10-04
3566,1920-10-05
3567,1920-10-06
3568,1920-10-07
3569,1920-10-08
3570,1920-10-09
3571,1920-10-10
3572,1920-10-11
3573,1920-10-12
3574,1920-10-13
3575,1920-10-14
3576,1920-10-15
3577,1920-10-16
3578,1920-10-17
3579,1920-10-18
3580,1920-10-19
3581,1920-10-20
3582,1920-10-21
3583,1920-10-22
3584,1920-10-23
3585,1920-10-24
3586,1920-10-25
3587,1920-10-26
3588,1920-10-27
3589,1920-10-28
3590,1920-10-29
3591,1920-10-30
3592,1920-10-31
3593,1920-11-01
3594,1920-11-02
3595,1920-11-03
3596,1920-11-04
3597,1920-11-05
3598,1920-11-06
3599,1920-11-07
3600,1920-11-08
3601,1920-11-09
3602,1920-11-10
3603,1920-11-11
3604,1920-11-12
3605,1920-11-13
3606,1920-11-14
3607,1920-11-15
3608,1920-11-16
3609,1920-11-17
3610,1920-11-18
3611,1920-11-19
3612,1920-11-20
3613,1920-11-21
3614,1920-11-22
3615,1920-11-23
3616,1920-11-24
3617,1920-11-25
3618,1920-11-26
3619,1920-11-27
3620,1920-11-28
3621,1920-11-29
3622,1920-11-30
3623,1920-12-01
3624,1920-12-02
3625,1920-12-03
3626,1920-12-04
3627,1920-12-05
3628,1920-12-06
3629,1920-12-07
3630,1920-12-08
3631,1920-12-09
3632,1920-12-10
3633,1920-12-11
3634,1920-12-12
3635,1920-12-13
3636,1920-12-14
3637,1920-12-15
3638,1920-12-16
3639,1920-12-17
3640,1920-12-18
3641,1920-12-19
3642,1920-12-20
3643,1920-12-21
3644,1920-12-22
3645,1920-12-23
3646,1920-12-24
3647,1920-12-25
3648,1920-12-26
3649,1920-12-27
3650,1920-12-28
3651,1920-12-29
3652,1920-12-30
3653,1920-12-31
3654,1921-01-01
3655,1921-01-02
3656,1921-01-03
3657,1921-01-04
3658,1921-01-05
3659,1921-01-06
3660,1921-01-07
3661,1921-01-08
3662,1921-01-09
3663,1921-01-10
3664,1921-01-11
3665,1921-01-12
3666,1921-01-13
3667,1921-01-14
3668,1921-01-15
3669,1921-01-16
3670,1921-01-17
3671,1921-01-18
3672,1921-01-19
3673,1921-01-20
3674,1921-01-21
3675,1921-01-22
3676,1921-01-23
3677,1921-01-24
3678,1921-01-25
3679,1921-01-26
3680,1921-01-27
3681,1921-01-28
3682,1921-01-29
3683,1921-01-30
3684,1921-01-31
3685,1921-02-01
3686,1921-02-02
3687,1921-02-03
3688,1921-02-04
3689,1921-02-05
3690,1921-02-06
3691,1921-02-07
3692,1921-02-08
3693,1921-02-09
3694,1921-02-10
3695,1921-02-11
3696,1921-02-12
3697,1921-02-13
3698,1921-02-14
3699,1921-02-15
3700,1921-02-16
3701,1921-02-17
3702,1921-02-18
3703,1921-02-19
3704,1921-02-20
3705,1921-02-21
3706,1921-02-22
3707,1921-02-23
3708,1921-02-24
3709,1921-02-25
3710,1921-02-26
3711,1921-02-27
3712,1921-02-28
3713,1921-03-01
3714,1921-03-02
3715,1921-03-03
3716,1921-03-04
3717,1921-03-05
3718,1921-03-06
3719,1921-03-07
3720,1921-03-08
3721,1921-03-09
3722,1921-03-10
3723,1921-03-11
3724,1921-03-12
3725,1921-03-13
3726,1921-03-14
3727,1921-03-15
3728,1921-03-16
3729,1921-03-17
3730,1921-03-18
3731,1921-03-19
3732,1921-03-20
3733,1921-03-21
3734,1921-03-22
3735,1921-03-23
3736,1921-03-24
3737,1921-03-25
3738,1921-03-26
3739,1921-03-27
3740,1921-03-28
3741,1921-03-29
3742,1921-03-30
3743,1921-03-31
3744,1921-04-01
3745,1921-04-02
3746,1921-04-03
3747,1921-04-04
3748,1921-04-05
3749,1921-04-06
3750,1921-04-07
3751,1921-04-08
3752,1921-04-09
3753,1921-04-10
3754,1921-04-11
3755,1921-04-12
3756,1921-04-13
3757,1921-04-14
3758,1921-04-15
3759,1921-04-16
3760,1921-04-17
3761,1921-04-18
3762,1921-04-19
3763,1921-04-20
3764,1921-04-21
3765,1921-04-22
3766,1921-04-23
3767,1921-04-24
3768,1921-04-25
3769,1921-04-26
3770,1921-04-27
3771,1921-04-28
3772,1921-04-29
3773,1921-04-30
3774,1921-05-01
3775,1921-05-02
3776,1921-05-03
3777,1921-05-04
3778,1921-05-05
3779,1921-05-06
3780,1921-05-07
3781,1921-05-08
3782,1921-05-09
3783,1921-05-10
3784,1921-05-11
3785,1921-05-12
3786,1921-05-13
3787,1921-05-14
3788,1921-05-15
3789,1921-05-16
3790,1921-05-17
3791,1921-05-18
3792,1921-05-19
3793,1921-05-20
3794,1921-05-21
3795,1921-05-22
3796,1921-05-23
3797,1921-05-24
3798,1921-05-25
3799,1921-05-26
3800,1921-05-27
3801,1921-05-28
3802,1921-05-29
3803,1921-05-30
3804,1921-05-31
3805,1921-06-01
3806,1921-06-02
3807,1921-06-03
3808,1921-06-04
3809,1921-06-05
3810,1921-06-06
3811,1921-06-07
3812,1921-06-08
3813,1921-06-09
3814,1921-06-10
3815,1921-06-11
3816,1921-06-12
3817,1921-06-13
3818,1921-06-14
3819,1921-06-15
3820,1921-06-16
3821,1921-06-17
3822,1921-06-18
3823,1921-06-19
3824,1921-06-20
3825,1921-06-21
3826,1921-06-22
3827,1921-06-23
3828,1921-06-24
3829,1921-06-25
3830,1921-06-26
3831,1921-06-27
3832,1921-06-28
3833,1921-06-29
3834,1921-06-30
3835,1921-07-01
3836,1921-07-02
3837,1921-07-03
3838,1921-07-04
3839,1921-07-05
3840,1921-07-06
3841,1921-07-07
3842,1921-07-08
3843,1921-07-09
3844,1921-07-10
3845,1921-07-11
3846,1921-07-12
3847,1921-07-13
3848,1921-07-14
3849,1921-07-15
3850,1921-07-16
3851,1921-07-17
3852,1921-07-18
3853,1921-07-19
3854,1921-07-20
3855,1921-07-21
3856,1921-07-22
3857,1921-07-23
3858,1921-07-24
3859,1921-07-25
3860,1921-07-26
3861,1921-07-27
3862,1921-07-28
3863,1921-07-29
3864,1921-07-30
3865,1921-07-31
3866,1921-08-01
3867,1921-08-02
3868,1921-08-03
3869,1921-08-04
3870,1921-08-05
3871,1921-08-06
3872,1921-08-07
3873,1921-08-08
3874,1921-08-09
3875,1921-08-10
3876,1921-08-11
3877,1921-08-12
3878,1921-08-13
3879,1921-08-14
3880,1921-08-15
3881,1921-08-16
3882,1921-08-17
3883,1921-08-18
3884,1921-08-19
3885,1921-08-20
3886,1921-08-21
3887,1921-08-22
3888,1921-08-23
3889,1921-08-24
3890,1921-08-25
3891,1921-08-26
3892,1921-08-27
3893,1921-08-28
3894,1921-08-29
3895,1921-08-30
3896,1921-08-31
3897,1921-09-01
3898,1921-09-02
3899,1921-09-03
3900,1921-09-04
3901,1921-09-05
3902,1921-09-06
3903,1921-09-07
3904,1921-09-08
3905,1921-09-09
3906,1921-09-10
3907,1921-09-11
3908,1921-09-12
3909,1921-09-13
3910,1921-09-14
3911,1921-09-15
3912,1921-09-16
3913,1921-09-17
3914,1921-09-18
3915,1921-09-19
3916,1921-09-20
3917,1921-09-21
3918,1921-09-22
3919,1921-09-23
3920,1921-09-24
3921,1921-09-25
3922,1921-09-26
3923,1921-09-27
3924,1921-09-28
3925,1921-09-29
3926,1921-09-30
3927,1921-10-01
3928,1921-10-02
3929,1921-10-03
3930,1921-10-04
3931,1921-10-05
3932,1921-10-06
3933,1921-10-07
3934,1921-10-08
3935,1921-10-09
3936,1921-10-10
3937,1921-10-11
3938,1921-10-12
3939,1921-10-13
3940,1921-10-14
3941,1921-10-15
3942,1921-10-16
3943,1921-10-17
3944,1921-10-18
3945,1921-10-19
3946,1921-10-20
3947,1921-10-21
3948,1921-10-22
3949,1921-10-23
3950,1921-10-24
3951,1921-10-25
3952,1921-10-26
3953,1921-10-27
3954,1921-10-28
3955,1921-10-29
3956,1921-10-30
3957,1921-10-31
3958,1921-11-01
3959,1921-11-02
3960,1921-11-03
3961,1921-11-04
3962,1921-11-05
3963,1921-11-06
3964,1921-11-07
3965,1921-11-08
3966,1921-11-09
3967,1921-11-10
3968,1921-11-11
3969,1921-11-12
3970,1921-11-13
3971,1921-11-14
3972,1921-11-15
3973,1921-11-16
3974,1921-11-17
3975,1921-11-18
3976,1921-11-19
3977,1921-11-20
3978,1921-11-21
3979,1921-11-22
3980,1921-11-23
3981,1921-11-24
3982,1921-11-25
3983,1921-11-26
3984,1921-11-27
3985,1921-11-28
3986,1921-11-29
3987,1921-11-30
3988,1921-12-01
3989,1921-12-02
3990,1921-12-03
3991,1921-12-04
3992,1921-12-05
3993,1921-12-06
3994,1921-12-07
3995,1921-12-08
3996,1921-12-09
3997,1921-12-10
3998,1921-12-11
3999,1921-12-12
4000,1921-12-13
4001,1921-12-14
4002,1921-12-15
4003,1921-12-16
4004,1921-12-17
4005,1921-12-18
4006,1921-12-19
4007,1921-12-20
4008,1921-12-21
4009,1921-12-22
4010,1921-12-23
4011,1921-12-24
4012,1921-12-25
4013,1921-12-26
4014,1921-12-27
4015,1921-12-28
4016,1921-12-29
4017,1921-12-30
4018,1921-12-31
4019,1922-01-01
4020,1922-01-02
4021,1922-01-03
4022,1922-01-04
4023,1922-01-05
4024,1922-01-06
4025,1922-01-07
4026,1922-01-08
4027,1922-01-09
4028,1922-01-10
4029,1922-01-11
4030,1922-01-12
4031,1922-01-13
4032,1922-01-14
4033,1922-01-15
4034,1922-01-16
4035,1922-01-17
4036,1922-01-18
4037,1922-01-19
4038,1922-01-20
4039,1922-01-21
4040,1922-01-22
4041,1922-01-23
4042,1922-01-24
4043,1922-01-25
4044,1922-01-26
4045,1922-01-27
4046,1922-01-28
4047,1922-01-29
4048,1922-01-30
4049,1922-01-31
4050,1922-02-01
4051,1922-02-02
4052,1922-02-03
4053,1922-02-04
4054,1922-02-05
4055,1922-02-06
4056,1922-02-07
4057,1922-02-08
4058,1922-02-09
4059,1922-02-10
4060,1922-02-11
4061,1922-02-12
4062,1922-02-13
4063,1922-02-14
4064,1922-02-15
4065,1922-02-16
4066,1922-02-17
4067,1922-02-18
4068,1922-02-19
4069,1922-02-20
4070,1922-02-21
4071,1922-02-22
4072,1922-02-23
4073,1922-02-24
4074,1922-02-25
4075,1922-02-26
4076,1922-02-27
4077,1922-02-28
4078,1922-03-01
4079,1922-03-02
4080,1922-03-03
4081,1922-03-04
4082,1922-03-05
4083,1922-03-06
4084,1922-03-07
4085,1922-03-08
4086,1922-03-09
4087,1922-03-10
4088,1922-03-11
4089,1922-03-12
4090,1922-03-13
4091,1922-03-14
4092,1922-03-15
4093,1922-03-16
4094,1922-03-17
4095,1922-03-18
4096,1922-03-19
4097,1922-03-20
4098,1922-03-21
4099,1922-03-22
4100,1922-03-23
4101,1922-03-24
4102,1922-03-25
4103,1922-03-26
4104,1922-03-27
4105,1922-03-28
4106,1922-03-29
4107,1922-03-30
4108,1922-03-31
4109,1922-04-01
4110,1922-04-02
4111,1922-04-03
4112,1922-04-04
4113,1922-04-05
4114,1922-04-06
4115,1922-04-07
4116,1922-04-08
4117,1922-04-09
4118,1922-04-10
4119,1922-04-11
4120,1922-04-12
4121,1922-04-13
4122,1922-04-14
4123,1922-04-15
4124,1922-04-16
4125,1922-04-17
4126,1922-04-18
4127,1922-04-19
4128,1922-04-20
4129,1922-04-21
4130,1922-04-22
4131,1922-04-23
4132,1922-04-24
4133,1922-04-25
4134,1922-04-26
4135,1922-04-27
4136,1922-04-28
4137,1922-04-29
4138,1922-04-30
4139,1922-05-01
4140,1922-05-02
4141,1922-05-03
4142,1922-05-04
4143,1922-05-05
4144,1922-05-06
4145,1922-05-07
4146,1922-05-08
4147,1922-05-09
4148,1922-05-10
4149,1922-05-11
4150,1922-05-12
4151,1922-05-13
4152,1922-05-14
4153,1922-05-15
4154,1922-05-16
4155,1922-05-17
4156,1922-05-18
4157,1922-05-19
4158,1922-05-20
4159,1922-05-21
4160,1922-05-22
4161,1922-05-23
4162,1922-05-24
4163,1922-05-25
4164,1922-05-26
4165,1922-05-27
4166,1922-05-28
4167,1922-05-29
4168,1922-05-30
4169,1922-05-31
4170,1922-06-01
4171,1922-06-02
4172,1922-06-03
4173,1922-06-04
4174,1922-06-05
4175,1922-06-06
4176,1922-06-07
4177,1922-06-08
4178,1922-06-09
4179,1922-06-10
4180,1922-06-11
4181,1922-06-12
4182,1922-06-13
4183,1922-06-14
4184,1922-06-15
4185,1922-06-16
4186,1922-06-17
4187,1922-06-18
4188,1922-06-19
4189,1922-06-20
4190,1922-06-21
4191,1922-06-22
4192,1922-06-23
4193,1922-06-24
4194,1922-06-25
4195,1922-06-26
4196,1922-06-27
4197,1922-06-28
4198,1922-06-29
4199,1922-06-30
4200,1922-07-01
4201,1922-07-02
4202,1922-07-03
4203,1922-07-04
4204,1922-07-05
4205,1922-07-06
4206,1922-07-07
4207,1922-07-08
4208,1922-07-09
4209,1922-07-10
4210,1922-07-11
4211,1922-07-12
4212,1922-07-13
4213,1922-07-14
4214,1922-07-15
4215,1922-07-16
4216,1922-07-17
4217,1922-07-18
4218,1922-07-19
4219,1922-07-20
4220,1922-07-21
4221,1922-07-22
4222,1922-07-23
4223,1922-07-24
4224,1922-07-25
4225,1922-07-26
4226,1922-07-27
4227,1922-07-28
4228,1922-07-29
4229,1922-07-30
4230,1922-07-31
4231,1922-08-01
4232,1922-08-02
4233,1922-08-03
4234,1922-08-04
4235,1922-08-05
4236,1922-08-06
4237,1922-08-07
4238,1922-08-08
4239,1922-08-09
4240,1922-08-10
4241,1922-08-11
4242,1922-08-12
4243,1922-08-13
4244,1922-08-14
4245,1922-08-15
4246,1922-08-16
4247,1922-08-17
4248,1922-08-18
4249,1922-08-19
4250,1922-08-20
4251,1922-08-21
4252,1922-08-22
4253,1922-08-23
4254,1922-08-24
4255,1922-08-25
4256,1922-08-26
4257,1922-08-27
4258,1922-08-28
4259,1922-08-29
4260,1922-08-30
4261,1922-08-31
4262,1922-09-01
4263,1922-09-02
4264,1922-09-03
4265,1922-09-04
4266,1922-09-05
4267,1922-09-06
4268,1922-09-07
4269,1922-09-08
4270,1922-09-09
4271,1922-09-10
4272,1922-09-11
4273,1922-09-12
4274,1922-09-13
4275,1922-09-14
4276,1922-09-15
4277,1922-09-16
4278,1922-09-17
4279,1922-09-18
4280,1922-09-19
4281,1922-09-20
4282,1922-09-21
4283,1922-09-22
4284,1922-09-23
4285,1922-09-24
4286,1922-09-25
4287,1922-09-26
4288,1922-09-27
4289,1922-09-28
4290,1922-09-29
4291,1922-09-30
4292,1922-10-01
4293,1922-10-02
4294,1922-10-03
4295,1922-10-04
4296,1922-10-05
4297,1922-10-06
4298,1922-10-07
4299,1922-10-08
4300,1922-10-09
4301,1922-10-10
4302,1922-10-11
4303,1922-10-12
4304,1922-10-13
4305,1922-10-14
4306,1922-10-15
4307,1922-10-16
4308,1922-10-17
4309,1922-10-18
4310,1922-10-19
4311,1922-10-20
4312,1922-10-21
4313,1922-10-22
4314,1922-10-23
4315,1922-10-24
4316,1922-10-25
4317,1922-10-26
4318,1922-10-27
4319,1922-10-28
4320,1922-10-29
4321,1922-10-30
4322,1922-10-31
4323,1922-11-01
4324,1922-11-02
4325,1922-11-03
4326,1922-11-04
4327,1922-11-05
4328,1922-11-06
4329,1922-11-07
4330,1922-11-08
4331,1922-11-09
4332,1922-11-10
4333,1922-11-11
4334,1922-11-12
4335,1922-11-13
4336,1922-11-14
4337,1922-11-15
4338,1922-11-16
4339,1922-11-17
4340,1922-11-18
4341,1922-11-19
4342,1922-11-20
4343,1922-11-21
4344,1922-11-22
4345,1922-11-23
4346,1922-11-24
4347,1922-11-25
4348,1922-11-26
4349,1922-11-27
4350,1922-11-28
4351,1922-11-29
4352,1922-11-30
4353,1922-12-01
4354,1922-12-02
4355,1922-12-03
4356,1922-12-04
4357,1922-12-05
4358,1922-12-06
4359,1922-12-07
4360,1922-12-08
4361,1922-12-09
4362,1922-12-10
4363,1922-12-11
4364,1922-12-12
4365,1922-12-13
4366,1922-12-14
4367,1922-12-15
4368,1922-12-16
4369,1922-12-17
4370,1922-12-18
4371,1922-12-19
4372,1922-12-20
4373,1922-12-21
4374,1922-12-22
4375,1922-12-23
4376,1922-12-24
4377,1922-12-25
4378,1922-12-26
4379,1922-12-27
4380,1922-12-28
4381,1922-12-29
4382,1922-12-30
4383,1922-12-31
4384,1923-01-01
4385,1923-01-02
4386,1923-01-03
4387,1923-01-04
4388,1923-01-05
4389,1923-01-06
4390,1923-01-07
4391,1923-01-08
4392,1923-01-09
4393,1923-01-10
4394,1923-01-11
4395,1923-01-12
4396,1923-01-13
4397,1923-01-14
4398,1923-01-15
4399,1923-01-16
4400,1923-01-17
4401,1923-01-18
4402,1923-01-19
4403,1923-01-20
4404,1923-01-21
4405,1923-01-22
4406,1923-01-23
4407,1923-01-24
4408,1923-01-25
4409,1923-01-26
4410,1923-01-27
4411,1923-01-28
4412,1923-01-29
4413,1923-01-30
4414,1923-01-31
4415,1923-02-01
4416,1923-02-02
4417,1923-02-03
4418,1923-02-04
4419,1923-02-05
4420,1923-02-06
4421,1923-02-07
4422,1923-02-08
4423,1923-02-09
4424,1923-02-10
4425,1923-02-11
4426,1923-02-12
4427,1923-02-13
4428,1923-02-14
4429,1923-02-15
4430,1923-02-16
4431,1923-02-17
4432,1923-02-18
4433,1923-02-19
4434,1923-02-20
4435,1923-02-21
4436,1923-02-22
4437,1923-02-23
4438,1923-02-24
4439,1923-02-25
4440,1923-02-26
4441,1923-02-27
4442,1923-02-28
4443,1923-03-01
4444,1923-03-02
4445,1923-03-03
4446,1923-03-04
4447,1923-03-05
4448,1923-03-06
4449,1923-03-07
4450,1923-03-08
4451,1923-03-09
4452,1923-03-10
4453,1923-03-11
4454,1923-03-12
4455,1923-03-13
4456,1923-03-14
4457,1923-03-15
4458,1923-03-16
4459,1923-03-17
4460,1923-03-18
4461,1923-03-19
4462,1923-03-20
4463,1923-03-21
4464,1923-03-22
4465,1923-03-23
4466,1923-03-24
4467,1923-03-25
4468,1923-03-26
4469,1923-03-27
4470,1923-03-28
4471,1923-03-29
4472,1923-03-30
4473,1923-03-31
4474,1923-04-01
4475,1923-04-02
4476,1923-04-03
4477,1923-04-04
4478,1923-04-05
4479,1923-04-06
4480,1923-04-07
4481,1923-04-08
4482,1923-04-09
4483,1923-04-10
4484,1923-04-11
4485,1923-04-12
4486,1923-04-13
4487,1923-04-14
4488,1923-04-15
4489,1923-04-16
4490,1923-04-17
4491,1923-04-18
4492,1923-04-19
4493,1923-04-20
4494,1923-04-21
4495,1923-04-22
4496,1923-04-23
4497,1923-04-24
4498,1923-04-25
4499,1923-04-26
4500,1923-04-27
4501,1923-04-28
4502,1923-04-29
4503,1923-04-30
4504,1923-05-01
4505,1923-05-02
4506,1923-05-03
4507,1923-05-04
4508,1923-05-05
4509,1923-05-06
4510,1923-05-07
4511,1923-05-08
4512,1923-05-09
4513,1923-05-10
4514,1923-05-11
4515,1923-05-12
4516,1923-05-13
4517,1923-05-14
4518,1923-05-15
4519,1923-05-16
4520,1923-05-17
4521,1923-05-18
4522,1923-05-19
4523,1923-05-20
4524,1923-05-21
4525,1923-05-22
4526,1923-05-23
4527,1923-05-24
4528,1923-05-25
4529,1923-05-26
4530,1923-05-27
4531,1923-05-28
4532,1923-05-29
4533,1923-05-30
4534,1923-05-31
4535,1923-06-01
4536,1923-06-02
4537,1923-06-03
4538,1923-06-04
4539,1923-06-05
4540,1923-06-06
4541,1923-06-07
4542,1923-06-08
4543,1923-06-09
4544,1923-06-10
4545,1923-06-11
4546,1923-06-12
4547,1923-06-13
4548,1923-06-14
4549,1923-06-15
4550,1923-06-16
4551,1923-06-17
4552,1923-06-18
4553,1923-06-19
4554,1923-06-20
4555,1923-06-21
4556,1923-06-22
4557,1923-06-23
4558,1923-06-24
4559,1923-06-25
4560,1923-06-26
4561,1923-06-27
4562,1923-06-28
4563,1923-06-29
4564,1923-06-30
4565,1923-07-01
4566,1923-07-02
4567,1923-07-03
4568,1923-07-04
4569,1923-07-05
4570,1923-07-06
4571,1923-07-07
4572,1923-07-08
4573,1923-07-09
4574,1923-07-10
4575,1923-07-11
4576,1923-07-12
4577,1923-07-13
4578,1923-07-14
4579,1923-07-15
4580,1923-07-16
4581,1923-07-17
4582,1923-07-18
4583,1923-07-19
4584,1923-07-20
4585,1923-07-21
4586,1923-07-22
4587,1923-07-23
4588,1923-07-24
4589,1923-07-25
4590,1923-07-26
4591,1923-07-27
4592,1923-07-28
4593,1923-07-29
4594,1923-07-30
4595,1923-07-31
4596,1923-08-01
4597,1923-08-02
4598,1923-08-03
4599,1923-08-04
4600,1923-08-05
4601,1923-08-06
4602,1923-08-07
4603,1923-08-08
4604,1923-08-09
4605,1923-08-10
4606,1923-08-11
4607,1923-08-12
4608,1923-08-13
4609,1923-08-14
4610,1923-08-15
4611,1923-08-16
4612,1923-08-17
4613,1923-08-18
4614,1923-08-19
4615,1923-08-20
4616,1923-08-21
4617,1923-08-22
4618,1923-08-23
4619,1923-08-24
4620,1923-08-25
4621,1923-08-26
4622,1923-08-27
4623,1923-08-28
4624,1923-08-29
4625,1923-08-30
4626,1923-08-31
4627,1923-09-01
4628,1923-09-02
4629,1923-09-03
4630,1923-09-04
4631,1923-09-05
4632,1923-09-06
4633,1923-09-07
4634,1923-09-08
4635,1923-09-09
4636,1923-09-10
4637,1923-09-11
4638,1923-09-12
4639,1923-09-13
4640,1923-09-14
4641,1923-09-15
4642,1923-09-16
4643,1923-09-17
4644,1923-09-18
4645,1923-09-19
4646,1923-09-20
4647,1923-09-21
4648,1923-09-22
4649,1923-09-23
4650,1923-09-24
4651,1923-09-25
4652,1923-09-26
4653,1923-09-27
4654,1923-09-28
4655,1923-09-29
4656,1923-09-30
4657,1923-10-01
4658,1923-10-02
4659,1923-10-03
4660,1923-10-04
4661,1923-10-05
4662,1923-10-06
4663,1923-10-07
4664,1923-10-08
4665,1923-10-09
4666,1923-10-10
4667,1923-10-11
4668,1923-10-12
4669,1923-10-13
4670,1923-10-14
4671,1923-10-15
4672,1923-10-16
4673,1923-10-17
4674,1923-10-18
4675,1923-10-19
4676,1923-10-20
4677,1923-10-21
4678,1923-10-22
4679,1923-10-23
4680,1923-10-24
4681,1923-10-25
4682,1923-10-26
4683,1923-10-27
4684,1923-10-28
4685,1923-10-29
4686,1923-10-30
4687,1923-10-31
4688,1923-11-01
4689,1923-11-02
4690,1923-11-03
4691,1923-11-04
4692,1923-11-05
4693,1923-11-06
4694,1923-11-07
4695,1923-11-08
4696,1923-11-09
4697,1923-11-10
4698,1923-11-11
4699,1923-11-12
4700,1923-11-13
4701,1923-11-14
4702,1923-11-15
4703,1923-11-16
4704,1923-11-17
4705,1923-11-18
4706,1923-11-19
4707,1923-11-20
4708,1923-11-21
4709,1923-11-22
4710,1923-11-23
4711,1923-11-24
4712,1923-11-25
4713,1923-11-26
4714,1923-11-27
4715,1923-11-28
4716,1923-11-29
4717,1923-11-30
4718,1923-12-01
4719,1923-12-02
4720,1923-12-03
4721,1923-12-04
4722,1923-12-05
4723,1923-12-06
4724,1923-12-07
4725,1923-12-08
4726,1923-12-09
4727,1923-12-10
4728,1923-12-11
4729,1923-12-12
4730,1923-12-13
4731,1923-12-14
4732,1923-12-15
4733,1923-12-16
4734,1923-12-17
4735,1923-12-18
4736,1923-12-19
4737,1923-12-20
4738,1923-12-21
4739,1923-12-22
4740,1923-12-23
4741,1923-12-24
4742,1923-12-25
4743,1923-12-26
4744,1923-12-27
4745,1923-12-28
4746,1923-12-29
4747,1923-12-30
4748,1923-12-31
4749,1924-01-01
4750,1924-01-02
4751,1924-01-03
4752,1924-01-04
4753,1924-01-05
4754,1924-01-06
4755,1924-01-07
4756,1924-01-08
4757,1924-01-09
4758,1924-01-10
4759,1924-01-11
4760,1924-01-12
4761,1924-01-13
4762,1924-01-14
4763,1924-01-15
4764,1924-01-16
4765,1924-01-17
4766,1924-01-18
4767,1924-01-19
4768,1924-01-20
4769,1924-01-21
4770,1924-01-22
4771,1924-01-23
4772,1924-01-24
4773,1924-01-25
4774,1924-01-26
4775,1924-01-27
4776,1924-01-28
4777,1924-01-29
4778,1924-01-30
4779,1924-01-31
4780,1924-02-01
4781,1924-02-02
4782,1924-02-03
4783,1924-02-04
4784,1924-02-05
4785,1924-02-06
4786,1924-02-07
4787,1924-02-08
4788,1924-02-09
4789,1924-02-10
4790,1924-02-11
4791,1924-02-12
4792,1924-02-13
4793,1924-02-14
4794,1924-02-15
4795,1924-02-16
4796,1924-02-17
4797,1924-02-18
4798,1924-02-19
4799,1924-02-20
4800,1924-02-21
4801,1924-02-22
4802,1924-02-23
4803,1924-02-24
4804,1924-02-25
4805,1924-02-26
4806,1924-02-27
4807,1924-02-28
4808,1924-02-29
4809,1924-03-01
4810,1924-03-02
4811,1924-03-03
4812,1924-03-04
4813,1924-03-05
4814,1924-03-06
4815,1924-03-07
4816,1924-03-08
4817,1924-03-09
4818,1924-03-10
4819,1924-03-11
4820,1924-03-12
4821,1924-03-13
4822,1924-03-14
4823,1924-03-15
4824,1924-03-16
4825,1924-03-17
4826,1924-03-18
4827,1924-03-19
4828,1924-03-20
4829,1924-03-21
4830,1924-03-22
4831,1924-03-23
4832,1924-03-24
4833,1924-03-25
4834,1924-03-26
4835,1924-03-27
4836,1924-03-28
4837,1924-03-29
4838,1924-03-30
4839,1924-03-31
4840,1924-04-01
4841,1924-04-02
4842,1924-04-03
4843,1924-04-04
4844,1924-04-05
4845,1924-04-06
4846,1924-04-07
